lat,lon
40.23377228,139.96461487
40.22195816,139.95278931
40.22335434,139.95350647
40.23155594,139.95626831
40.22932053,139.97103882
40.23693466,139.94842529
40.22318649,139.97015381
40.22278214,139.96463013
40.23144913,139.93154907
40.23290634,139.95494080
40.22837067,139.95060730
40.24285889,139.96685791
40.22442245,139.96542358
40.22974777,139.94729614
40.23292542,139.96102905
40.22941971,139.95446777
40.22615814,139.93739319
40.23470306,139.94889832
40.23254395,139.96055603
40.23392868,139.95079041
40.22638321,139.96299744
40.22625732,139.94946289
40.23493195,139.95617676
40.23206711,139.94288635
40.22489548,139.95401001
40.23364258,139.96415710
40.22359848,139.94996643
40.22982025,139.97950745
40.24347305,139.96963501
40.21729660,139.96990967
40.22956085,139.94841003
40.22997284,139.93066406
40.22979736,139.96200562
40.22391891,139.96646118
40.22095490,139.97505188
40.23067856,139.93194580
40.23463821,139.95698547
40.22682571,139.95289612
40.22954559,139.96054077
40.23115540,139.96498108
40.23691940,139.94726562
40.22897720,139.95292664
40.22399521,139.96318054
40.22602081,139.95561218
40.22836685,139.96524048
40.22426224,139.95950317
40.22713852,139.95031738
40.23270798,139.93530273
40.24178314,139.97525024
40.22931671,139.93984985
40.22553253,139.94924927
40.23503876,139.96229553
40.23479462,139.97369385
40.22756958,139.95039368
40.23678970,139.94134521
40.23301315,139.95715332
40.22417068,139.94973755
40.22922516,139.96543884
40.21798325,139.96798706
40.23463058,139.93025208
40.24125671,139.94810486
40.22451019,139.97888184
40.23896790,139.96334839
40.22381210,139.96083069
40.22504044,139.95558167
40.23678589,139.95553589
40.21639633,139.96977234
40.23404312,139.95526123
40.22629166,139.94406128
40.23470688,139.94583130
40.23230362,139.94767761
40.22689438,139.98443604
40.24087143,139.98181152
40.22647858,139.96188354
40.23131180,139.94491577
40.22396469,139.96011353
40.22229385,139.96356201
40.22998047,139.94877625
40.22941971,139.95060730
40.22959900,139.93431091
40.22223663,139.95661926
40.22847748,139.97132874
40.23748398,139.95625305
40.22763443,139.93791199
40.23429108,139.95735168
40.22033691,139.94688416
40.23110199,139.96659851
40.23005676,139.94175720
40.21888733,139.97398376
40.22620010,139.96600342
40.22369385,139.94955444
40.22556305,139.96804810
40.22900009,139.97250366
40.24890900,139.95632935
40.22962570,139.96421814
40.22559357,139.96264648
40.23340988,139.94770813
40.22896957,139.95257568
40.24166870,139.96752930
40.22713470,139.95744324
40.22172928,139.96615601
40.22242355,139.97663879
40.23390198,139.95472717
40.23542404,139.97068787
40.22680664,139.94920349
40.22959518,139.94306946
40.22719193,139.95246887
40.23709488,139.95448303
40.22941208,139.97930908
40.23042297,139.93408203
40.22988510,139.94033813
40.22520065,139.94940186
40.22943497,139.96109009
40.23138046,139.95706177
40.22307205,139.95372009
40.23371506,139.98219299
40.23021317,139.95814514
40.24036407,139.95957947
40.22631836,139.93894958
40.24830246,139.95423889
40.23264313,139.95079041
40.24070358,139.94248962
40.22877884,139.93319702
40.23656464,139.95968628
40.22605896,139.95904541
40.22578812,139.96372986
40.23617935,139.96774292
40.22230911,139.94296265
40.22859955,139.95661926
40.22272491,139.96408081
40.23060226,139.95948792
40.24966431,139.97673035
40.20642090,139.99057007
40.24116516,139.96618652
40.22495270,139.93344116
40.22340012,139.93533325
40.23283005,139.96437073
40.23354340,139.95051575
40.23539352,139.95925903
40.22154999,139.96453857
40.22182846,139.95712280
40.22746658,139.95584106
40.25260925,139.97859192
40.23860550,139.95019531
40.22642517,139.93550110
40.22890854,139.97454834
40.22782135,139.95794678
40.23092651,139.94866943
40.22965240,139.92529297
40.23310852,139.97276306
40.24585724,139.96548462
40.23162079,139.96717834
40.23775482,139.97467041
40.22620773,139.93553162
40.24041748,139.96412659
40.22214890,139.96591187
40.23183060,139.94691467
40.22693634,139.94570923
40.24095917,139.98377991
40.22862625,139.95111084
40.23343277,139.96272278
40.22502518,139.94972229
40.22868347,139.94006348
40.23007584,139.94607544
40.23991394,139.95121765
40.23143005,139.97135925
40.23365402,139.94926453
40.23154831,139.94796753
40.22012329,139.95986938
40.22787857,139.96818542
40.22101212,139.96450806
40.22033310,139.96928406
40.22863770,139.91981506
40.23351669,139.96412659
40.22599411,139.94882202
40.22603607,139.95631409
40.23043442,139.95545959
40.22850800,139.95379639
40.22458649,139.95401001
40.22637939,139.95318604
40.22943497,139.97601318
40.23268127,139.94537354
40.23009491,139.94435120
40.23400879,139.95941162
40.22740555,139.96400452
40.22223663,139.97311401
40.22517395,139.95390320
40.22555923,139.96783447
40.22321701,139.95597839
40.24010468,139.95617676
40.22722626,139.95367432
40.22966766,139.95603943
40.23231506,139.95259094
40.22248077,139.96919250
40.22727585,139.98037720
40.21587372,139.96531677
40.23769760,139.95684814
40.23163986,139.94523621
40.22230148,139.96679688
40.22973251,139.94358826
40.22702789,139.95159912
40.23863602,139.97140503
40.24725723,139.95532227
40.22325516,139.97868347
