lat,lon
40.23028946,139.94534302
40.22243881,139.94587708
40.23254013,139.95059204
40.23125076,139.97650146
40.23116302,139.95368958
40.21707535,139.96371460
40.23297119,139.95193481
40.22566605,139.96022034
40.21602631,139.96347046
40.23278809,139.96771240
40.23344040,139.96096802
40.23261642,139.95895386
40.22966385,139.95036316
40.22376633,139.98124695
40.24056625,139.96343994
40.23014832,139.95092773
40.23531723,139.95249939
40.23085022,139.94195557
40.22656631,139.94142151
40.22553635,139.94879150
40.23059464,139.95840454
40.23124313,139.95188904
40.22103882,139.96525574
40.22574234,139.95275879
40.22872162,139.94732666
40.23243332,139.94963074
40.24261475,139.98767090
40.23287201,139.97277832
40.23384857,139.97177124
40.22699738,139.95025635
40.23081970,139.94442749
40.22718430,139.94793701
40.23484039,139.97753906
40.23942947,139.95457458
40.23278427,139.95730591
40.22700500,139.95066833
40.22708130,139.94812012
40.23147964,139.96925354
40.22447586,139.95993042
40.23843384,139.94998169
40.22849655,139.92774963
40.22702789,139.96752930
40.22175217,139.95401001
40.23304749,139.95181274
40.22969437,139.94171143
40.22182846,139.97657776
40.22612381,139.95223999
40.22815704,139.95236206
40.22476959,139.96632385
40.23682785,139.96301270
40.23120117,139.94860840
40.22787094,139.95863342
40.23049545,139.94589233
40.22849655,139.95980835
40.23013687,139.97854614
40.22293472,139.99681091
40.23522949,139.95314026
40.23369598,139.96063232
40.23390579,139.94593811
40.23737717,139.97312927
40.23421478,139.95822144
40.23307800,139.92929077
40.22964859,139.94004822
40.23466492,139.95004272
40.23040390,139.98220825
40.22964478,139.95721436
40.22610474,139.96606445
40.24187088,139.95701599
40.22724915,139.94085693
40.22491074,139.94258118
40.22728348,139.96864319
40.22951889,139.95289612
40.23146057,139.96803284
40.22927475,139.96466064
40.22978973,139.96826172
40.24192429,139.96688843
40.22410202,139.95907593
40.22945404,139.94963074
40.22700119,139.95596313
40.21300125,139.96206665
40.22190857,139.96669006
40.23035812,139.94157410
40.22091293,139.95890808
40.23810196,139.96618652
40.22486115,139.96119690
40.21387100,139.96038818
40.22674179,139.95527649
40.22494125,139.95690918
40.23723221,139.96313477
40.23143768,139.95910645
40.23249054,139.95117188
40.22682571,139.95893860
40.23607635,139.96693420
40.23632812,139.95619202
40.23299789,139.95849609
40.22632217,139.95768738
40.21931839,139.95576477
40.21840286,139.96134949
40.23345947,139.96432495
40.22739792,139.94334412
40.23072815,139.94404602
40.22740936,139.95629883
40.22592163,139.94464111
40.23228455,139.94989014
40.23526001,139.94413757
40.23113632,139.95724487
40.22359848,139.96403503
40.22863007,139.94335938
40.23396683,139.93884277
40.23524094,139.95706177
40.23594666,139.97030640
40.23265839,139.95712280
40.23559570,139.95324707
40.22724152,139.95355225
40.22692108,139.94808960
40.21690750,139.95162964
40.22834396,139.95040894
40.22891617,139.96846008
40.22409439,139.96084595
40.22651291,139.93554688
